,contributed,ending_value,profit,twr_annualized,annual_volatility_252,volatility_status,max_drawdown,xirr,xirr_status
A100,48000.0,57789.331947698454,9789.331947698454,0.06259860722866417,0.05447366510110696,OK,-0.438711412227934,0.09235409001520656,OK
A80_B20,48000.0,56257.67124255674,8257.671242556738,0.05584169049697896,0.04407517547189761,OK,-0.36599683885768786,0.07880134798811211,OK
A60_B40,48000.0,54726.010537415015,6726.010537415015,0.04778577566366127,0.0344652199876153,OK,-0.2898998265187315,0.0649415881759382,OK
B100,48000.0,50131.02842198983,2131.0284219898313,0.01664664543760863,0.02128357752777466,OK,-0.13400790187032052,0.02134924977810082,OK
